,beach_name,water_temperature,turbidity,wave_height,wave_period,battery_life,time_of_day,month,day,year
71,Calumet Beach,16.8,1.55,0.19399999999999998,3.0,11.7,11:00:00,05,29,2014
72,Montrose Beach,15.2,5.71,0.262,3.0,11.8,11:00:00,05,29,2014
73,Calumet Beach,16.6,1.79,0.21,4.0,11.7,12:00:00,05,30,2014
74,Montrose Beach,15.2,6.09,0.23399999999999999,3.0,11.8,12:00:00,05,30,2014
75,Calumet Beach,16.4,1.74,0.17600000000000002,4.0,11.7,01:00:00,05,30,2014
76,Montrose Beach,15.0,5.98,0.26,3.0,11.8,01:00:00,05,30,2014
77,Montrose Beach,15.0,5.92,0.26,3.0,11.8,02:00:00,05,30,2014
78,Calumet Beach,16.4,1.53,0.193,4.0,11.7,02:00:00,05,30,2014
79,Calumet Beach,16.3,1.72,0.17600000000000002,4.0,11.7,03:00:00,05,30,2014
80,Montrose Beach,14.9,6.51,0.261,3.0,11.8,03:00:00,05,30,2014
81,Montrose Beach,14.8,5.35,0.266,4.0,11.8,04:00:00,05,30,2014
82,Calumet Beach,16.2,1.77,0.168,3.0,11.7,04:00:00,05,30,2014
83,Calumet Beach,16.2,1.6,0.152,3.0,11.7,05:00:00,05,30,2014
84,Montrose Beach,14.8,5.66,0.253,4.0,11.8,05:00:00,05,30,2014
85,Montrose Beach,14.7,5.53,0.21899999999999997,3.0,11.8,06:00:00,05,30,2014
86,Calumet Beach,16.1,1.53,0.14400000000000002,3.0,11.7,06:00:00,05,30,2014
87,Calumet Beach,16.1,1.71,0.132,3.0,11.7,07:00:00,05,30,2014
88,Montrose Beach,14.7,5.53,0.22,4.0,11.8,07:00:00,05,30,2014
89,Calumet Beach,16.2,1.68,0.127,3.0,11.7,08:00:00,05,30,2014
90,Montrose Beach,14.8,5.58,0.228,3.0,11.8,08:00:00,05,30,2014
91,Montrose Beach,15.0,5.36,0.223,3.0,11.8,09:00:00,05,30,2014
92,Calumet Beach,16.3,1.59,0.10800000000000001,3.0,11.6,09:00:00,05,30,2014
93,Montrose Beach,15.2,5.03,0.198,3.0,11.8,10:00:00,05,30,2014
94,Calumet Beach,16.6,1.52,0.111,3.0,11.6,10:00:00,05,30,2014
95,Calumet Beach,16.8,1.45,0.107,3.0,11.6,11:00:00,05,30,2014
96,Montrose Beach,15.5,5.28,0.20199999999999999,3.0,11.8,11:00:00,05,30,2014
97,Montrose Beach,15.8,5.04,0.193,3.0,11.8,12:00:00,05,30,2014
98,Calumet Beach,17.2,1.46,0.11599999999999999,3.0,11.6,12:00:00,05,30,2014
99,Calumet Beach,17.4,1.52,0.10800000000000001,3.0,11.6,01:00:00,05,30,2014
100,Montrose Beach,16.1,4.71,0.19899999999999998,3.0,11.8,01:00:00,05,30,2014
101,Montrose Beach,16.4,4.43,0.226,2.0,11.8,02:00:00,05,30,2014
102,Calumet Beach,17.5,1.58,0.115,3.0,11.6,02:00:00,05,30,2014
103,Calumet Beach,17.8,1.52,0.14,2.0,11.6,03:00:00,05,30,2014
104,Montrose Beach,16.7,4.62,0.196,2.0,11.8,03:00:00,05,30,2014
105,Montrose Beach,16.8,4.41,0.22899999999999998,2.0,11.8,04:00:00,05,30,2014
106,Calumet Beach,17.7,1.48,0.129,3.0,11.6,04:00:00,05,30,2014
107,Montrose Beach,16.8,4.31,0.23,3.0,11.8,05:00:00,05,30,2014
108,Calumet Beach,17.6,1.42,0.141,2.0,11.6,05:00:00,05,30,2014
109,Calumet Beach,17.7,1.43,0.141,3.0,11.6,06:00:00,05,30,2014
110,Montrose Beach,16.7,4.16,0.21899999999999997,2.0,11.8,06:00:00,05,30,2014
111,Montrose Beach,16.8,4.4,0.201,2.0,11.8,07:00:00,05,30,2014
112,Calumet Beach,17.7,1.39,0.147,2.0,11.6,07:00:00,05,30,2014
113,Montrose Beach,16.7,4.05,0.201,2.0,11.8,08:00:00,05,30,2014
114,Calumet Beach,17.6,1.44,0.163,3.0,11.6,08:00:00,05,30,2014
115,Montrose Beach,16.7,4.17,0.17800000000000002,2.0,11.8,09:00:00,05,30,2014
116,Calumet Beach,17.8,1.41,0.157,3.0,11.6,09:00:00,05,30,2014
117,Calumet Beach,17.8,1.45,0.14400000000000002,3.0,11.6,10:00:00,05,30,2014
118,Montrose Beach,16.5,3.83,0.16,2.0,11.8,10:00:00,05,30,2014
119,Calumet Beach,17.6,1.44,0.155,3.0,11.6,11:00:00,05,30,2014
120,Montrose Beach,16.5,3.94,0.182,3.0,11.8,11:00:00,05,30,2014
121,Montrose Beach,16.5,3.63,0.168,2.0,11.8,12:00:00,05,31,2014
122,Calumet Beach,17.2,1.58,0.14400000000000002,3.0,11.6,12:00:00,05,31,2014
