iter	RMSE
0	0.4788178972
1	0.4727225411
2	0.4688978695
3	0.4639253191
4	0.4584253644
5	0.4532711185
6	0.4486355328
7	0.44437086
8	0.440056144
9	0.4363360293
10	0.4331273781
11	0.4292217809
12	0.4258234485
13	0.4220553023
14	0.4189747543
15	0.4154346218
16	0.4122635155
17	0.4088944646
18	0.4067385608
19	0.4041878305
20	0.4011724638
21	0.398558605
22	0.3963668609
23	0.3944866913
24	0.3922773016
25	0.3900422957
26	0.3879189136
27	0.3857363805
28	0.3844194299
29	0.3825953686
30	0.3810698293
31	0.3794626949
32	0.3778185617
33	0.3762183563
34	0.37468972
35	0.3732198493
36	0.3720055197
37	0.3707642457
38	0.3694497999
39	0.3682776717
40	0.3672187899
41	0.3660804936
42	0.3649979952
43	0.3639723189
44	0.3629462652
45	0.3619400026
46	0.361033351
47	0.3602730543
48	0.3592554068
49	0.3584766265
50	0.3577504321
51	0.3567008243
52	0.3560727899
53	0.3554409753
54	0.3548752057
55	0.3542044563
56	0.3534675001
57	0.3529349464
58	0.352518179
59	0.351845826
60	0.3513816696
61	0.3508063574
62	0.3503700536
63	0.3498559279
64	0.3496142771
65	0.3490776073
66	0.3486830879
67	0.34819141
68	0.3477808921
69	0.3476549999
70	0.3472139229
71	0.3466538874
72	0.3461922564
73	0.3456121994
74	0.3453593247
75	0.3451293675
76	0.3448023002
77	0.3444199099
78	0.3439943205
79	0.3439105035
80	0.3435072651
81	0.3430959767
82	0.3426649472
83	0.3421044729
84	0.3417356043
85	0.3413564176
86	0.3410883035
87	0.3408551303
88	0.3405321609
89	0.3403541174
90	0.3400585644
91	0.3400134483
92	0.3399820166
93	0.3399398002
94	0.3397333168
95	0.3393442309
96	0.3392047433
97	0.3390856497
98	0.3389903217
99	0.3384763759
100	0.3381800945
101	0.3376900887
102	0.3374363017
103	0.3372113939
104	0.3369278375
105	0.3366404297
106	0.3363780944
107	0.3362126306
108	0.3359639885
109	0.3358447668
110	0.3356333154
111	0.3355420747
112	0.3353884245
113	0.335214402
114	0.3350875583
115	0.3349731284
116	0.3348049862
117	0.3345034224
118	0.3344726436
119	0.3343552879
120	0.3342188977
121	0.3339555452
122	0.3337372692
123	0.333606579
124	0.3332484621
125	0.3327854572
126	0.3325119591
127	0.3323893347
128	0.3323052216
129	0.3322196202
130	0.3320793721
131	0.3320286885
132	0.3319569216
133	0.3316603352
134	0.3314057046
135	0.3310741601
136	0.3307893898
137	0.3305501732
138	0.3304721628
139	0.3301973005
140	0.3300151745
141	0.3297260152
142	0.3295515949
143	0.3293120802
144	0.3291798304
145	0.3291032853
146	0.3288964241
147	0.3288178522
148	0.3287791886
149	0.3287326702
150	0.3286989078
151	0.3284309009
152	0.3282795181
153	0.3281324181
154	0.3280178147
155	0.3279681544
156	0.3279212532
157	0.3277189471
158	0.3275975426
159	0.3275058944
160	0.3272297605
161	0.3269878044
162	0.3268604888
