name,college_country,g,gs,mp,fg,fga,fg%,2p,2pa,2p%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,sos,position,height,handedness,per,vorp
Patrick Patterson,Kentucky,97,97,34.00,6.40,10.90,0.585,6.10,10.10,0.604,0.20,0.80,0.329,3.20,4.30,0.734,2.90,5.30,8.20,1.50,0.70,1.60,1.60,2.10,16.10,6.24,forward,"""6-8""",right,12.50,7.20
Larry Sanders,Virginia Commonwealth,101,82,23.50,4.10,7.90,0.520,4.10,7.70,0.526,0.00,0.20,0.000,2.10,3.60,0.577,2.50,5.20,7.70,0.50,0.60,2.70,1.50,3.10,10.30,-0.69,center,"""6-11""",right,15.40,1.10
Luke Babbitt,Nevada-Reno,68,68,34.90,6.50,13.60,0.480,5.40,11.00,0.494,1.10,2.60,0.421,5.20,5.80,0.893,2.00,6.20,8.10,1.80,0.90,0.80,2.10,2.20,19.40,1.98,forward,"""6-9""",left,10.10,-0.10
Eric Bledsoe,Kentucky,37,35,30.30,3.90,8.40,0.462,2.60,5.00,0.516,1.30,3.50,0.383,2.20,3.30,0.667,0.50,2.60,3.10,2.90,1.40,0.30,3.00,2.20,11.30,6.82,guard,"""6-1""",right,18.00,18.40
Avery Bradley,Texas,34,32,29.50,4.70,10.80,0.432,3.40,7.50,0.457,1.20,3.30,0.375,1.10,1.90,0.545,1.00,1.90,2.90,2.10,1.30,0.50,1.50,2.40,11.60,7.38,guard,"""6-3""",right,11.10,-0.70
James Anderson,Oklahoma State,101,99,32.80,5.80,12.60,0.460,3.50,6.60,0.536,2.20,5.90,0.375,4.20,5.20,0.797,1.90,3.10,5.10,1.60,1.10,0.60,2.10,2.10,17.90,7.36,forward,"""6-6""",right,9.90,-0.80
Craig Brackins,Iowa State,96,95,31.80,6.00,13.40,0.445,5.20,10.90,0.480,0.70,2.50,0.292,3.40,4.70,0.726,1.70,6.00,7.70,1.60,0.50,1.00,2.00,2.00,16.00,7.34,forward,"""6-10""",right,3.10,-0.20
Elliot Williams,Memphis,68,46,24.90,3.40,7.60,0.454,2.40,4.60,0.524,1.00,2.90,0.345,3.20,4.40,0.719,0.80,2.30,3.10,2.20,1.00,0.10,1.90,1.90,11.10,6.36,guard,"""6-5""",left,9.50,-1.10
Trevor Booker,Clemson,134,134,28.40,5.10,9.20,0.559,5.00,8.60,0.574,0.20,0.50,0.000,2.40,3.90,0.624,3.00,4.90,7.90,1.70,1.10,1.90,1.90,2.30,12.90,7.85,forward,"""6-8""",left,15.00,4.20
Damion James,Texas,142,140,29.30,5.00,10.40,0.479,4.20,8.40,0.506,0.70,2.00,0.364,2.80,4.40,0.640,2.90,6.30,9.30,1.10,1.00,1.10,1.80,2.80,13.50,7.54,forward,"""6-7""",right,8.50,-0.30
Dominique Jones,South Florida,95,94,36.50,6.20,14.10,0.442,4.50,8.90,0.512,1.70,5.20,0.323,4.80,6.50,0.737,1.50,3.90,5.40,3.50,1.50,0.40,2.60,2.60,18.90,7.32,guard,"""6-4""",right,11.90,-0.10
Quincy Pondexter,Washington,136,102,27.30,4.80,9.50,0.503,4.40,8.30,0.528,0.40,1.20,0.327,3.10,4.10,0.768,2.40,3.20,5.60,1.70,0.80,0.30,1.90,2.50,13.10,7.55,forward,"""6-7""",right,9.80,0.30
Jordan Crawford,Xavier,65,42,29.30,5.60,12.40,0.455,4.00,8.00,0.494,1.70,4.40,0.384,2.60,3.30,0.765,1.00,3.10,4.10,2.60,1.20,0.20,2.20,1.60,15.50,6.01,guard,"""6-4""",right,14.10,1.30
Greivis Vasquez,Maryland,36,123,33.60,5.50,13.00,0.425,3.80,7.90,0.487,1.70,5.10,0.329,3.20,3.90,0.828,1.00,3.80,4.80,5.70,1.40,0.30,3.30,2.20,16.00,7.95,forward,"""6-6""",right,13.70,1.90
Daniel Orton,Kentucky,38,0,13.20,1.30,2.40,0.527,1.30,2.30,0.539,0.00,0.10,0.000,0.90,1.70,0.524,1.20,2.10,3.30,0.40,0.60,1.40,1.00,2.30,3.40,6.82,center,"""6-10""",right,11.90,-0.20
