name,college_country,g,gs,mp,fg,fga,fg%,2p,2pa,2p%,3p,3pa,3p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,sos,position,height,handedness,per,vorp
Marcus Thornton,Louisiana State,66,65,32.70,7.10,15.60,0.455,4.50,8.90,0.510,2.50,6.70,0.382,3.70,4.80,0.771,2.00,3.50,5.50,1.80,1.50,0.30,2.00,2.00,20.40,4.46,guard,"""6-4""",right,15.50,6.20
Chase Budinger,Arizona,100,100,35.40,6.00,12.80,0.469,4.10,7.80,0.524,1.90,5.00,0.383,3.10,4.00,0.782,1.40,4.40,5.80,2.80,1.30,0.40,2.10,1.80,17.00,9.93,forward,"""6-7""",right,13.00,2.90
Nick Calathes,Florida,72,71,33.00,5.30,11.60,0.455,3.50,6.80,0.507,1.80,4.80,0.380,3.90,5.40,0.715,1.00,4.30,5.30,6.30,1.80,0.10,3.10,2.00,16.30,4.43,guard,"""6-6""",right,12.30,0.00
Danny Green,North Carolina,145,39,19.90,3.40,7.40,0.455,2.10,4.10,0.522,1.30,3.40,0.375,1.40,1.60,0.845,1.40,2.70,4.10,1.80,1.10,1.10,1.40,1.90,9.40,8.39,guard,"""6-6""",right,12.90,17.90
Taylor Griffin,Oklahoma,129,78,22.30,2.30,4.90,0.468,2.20,4.50,0.493,0.10,0.50,0.220,1.90,2.60,0.721,1.70,3.00,4.80,1.00,0.90,0.80,1.40,2.50,6.60,7.19,forward,"""6-7""",right,5.20,-0.10
Goran Suton,Michigan State,134,91,24.00,3.30,6.20,0.521,3.10,5.80,0.536,0.20,0.50,0.348,1.40,1.80,0.753,2.30,4.30,6.60,1.60,0.80,0.70,1.80,2.40,8.10,8.19,center,"""6-10""",right,0.00,0.00
Jack McClinton,Miami (FL),125,106,31.90,5.40,12.70,0.427,2.80,6.50,0.428,2.70,6.20,0.426,3.40,3.80,0.881,0.60,2.70,3.20,2.60,0.80,0.00,2.50,2.10,16.90,5.21,guard,"""6-0""",right,0.00,0.00
AJ Price,Connecticut,99,91,29.40,4.30,10.50,0.413,2.70,6.10,0.447,1.60,4.40,0.365,2.70,3.70,0.722,0.80,2.60,3.40,4.70,1.10,0.10,2.40,1.40,13.00,7.14,guard,"""6-2""",right,12.20,0.70
Robert Vaden,Alabama-Birmingham,127,127,35.10,5.30,13.20,0.405,2.30,5.30,0.440,3.00,7.80,0.382,2.20,2.70,0.808,0.90,3.70,4.60,2.60,1.20,0.30,2.70,2.30,15.80,5.78,forward,"""6-5""",right,0.00,0.00
Patty Mills,St. Mary's (CA),58,56,32.70,5.60,13.40,0.415,3.40,6.80,0.499,2.20,6.70,0.331,3.00,3.70,0.806,0.40,1.80,2.20,3.70,2.00,0.20,2.90,1.60,16.40,0.92,guard,"""6-1""",right,14.50,8.50
Ahmad Nivins,Saint Joseph's,126,108,33.00,4.90,7.80,0.627,4.90,7.80,0.628,0.00,0.00,0.000,4.50,6.10,0.733,2.80,4.70,7.60,0.50,0.70,1.30,2.20,2.70,14.20,3.39,forward,"""6-9""",right,0.00,0.00
Lester Hudson,Tennessee-Martin,65,64,36.50,9.30,20.40,0.456,5.80,10.80,0.530,3.50,9.50,0.372,4.40,5.20,0.858,2.20,5.70,7.90,4.40,2.60,0.60,3.60,2.70,26.60,-5.64,guard,"""6-3""",right,13.00,0.00
Chinemelu Elonu,Texas A&M,90,30,13.80,2.00,3.10,0.633,2.00,3.10,0.633,0.00,0.00,0.000,1.20,2.00,0.578,1.60,2.70,4.40,0.20,0.20,0.90,1.10,1.70,5.10,6.24,center,"""6-10""",right,0.00,0.00
Robert Dozier,Memphis,148,111,25.00,3.30,7.10,0.466,3.00,6.00,0.493,0.30,1.10,0.312,2.40,3.40,0.692,2.60,3.90,6.50,1.00,1.00,1.50,1.70,2.60,9.30,4.63,forward,"""6-9""",right,0.00,0.00
